Mach,CD Power-Off
0.01,0.394467796
0.02,0.423249096
0.03,0.438068629
0.04,0.443231298
0.05,0.444984554
0.06,0.445291003
0.07,0.444918267
0.08,0.444211302
0.09,0.443340118
0.1,0.442393908
0.11,0.44142143
0.12,0.440449967
0.13,0.439494857
0.14,0.438564571
0.15,0.437663538
0.16,0.436793763
0.17,0.435955788
0.18,0.435149276
0.19,0.434373377
0.2,0.433626944
0.21,0.43290868
0.22,0.432217224
0.23,0.431551212
0.24,0.430909299
0.25,0.43029018
0.26,0.43000581
0.27,0.429741805
0.28,0.429497138
0.29,0.429270732
0.3,0.429061648
0.31,0.428868939
0.32,0.428691811
0.33,0.428529445
0.34,0.428381087
0.35,0.428246073
0.36,0.428123726
0.37,0.428013515
0.38,0.427914638
0.39,0.427826876
0.4,0.427749602
0.41,0.427682339
0.42,0.427624649
0.43,0.427576117
0.44,0.427536356
0.45,0.427504853
0.46,0.427481547
0.47,0.427465982
0.48,0.427457843
0.49,0.42745684
0.5,0.427462698
0.51,0.427475158
0.52,0.427493827
0.53,0.427518763
0.54,0.427549592
0.55,0.427586118
0.56,0.427628134
0.57,0.42767545
0.58,0.427727886
0.59,0.427785123
0.6,0.427847284
0.61,0.428480725
0.62,0.429098319
0.63,0.429720103
0.64,0.430346232
0.65,0.43097643
0.66,0.431610424
0.67,0.432248394
0.68,0.432890077
0.69,0.433535218
0.7,0.434184003
0.71,0.434836186
0.72,0.435491527
0.73,0.436150219
0.74,0.436812037
0.75,0.437476746
0.76,0.438144554
0.77,0.438815237
0.78,0.439488575
0.79,0.440164785
0.8,0.440843648
0.81,0.441524958
0.82,0.442208936
0.83,0.442895375
0.84,0.443584069
0.85,0.444275249
0.86,0.444968714
0.87,0.445664261
0.88,0.446362137
0.89,0.447062132
0.9,0.447764063
0.91,0.450808859
0.92,0.459943246
0.93,0.486492095
0.94,0.525888213
0.95,0.565284332
0.96,0.60468045
0.97,0.644076568
0.98,0.683472686
0.99,0.722868805
1,0.762264923
1.01,0.801661041
1.02,0.841057159
1.03,0.880453278
1.04,0.919849396
1.05,0.959245514
1.06,0.961921112
1.07,0.964696006
1.08,0.96756736
1.09,0.970532736
1.1,0.973589897
1.11,0.976737272
1.12,0.97997301
1.13,0.983168378
1.14,0.98320828
1.15,0.983335831
1.16,0.982643213
1.17,0.981980625
1.18,0.981370193
1.19,0.980614018
1.2,0.97940131
1.21,0.978225414
1.22,0.977081499
1.23,0.975964969
1.24,0.974872309
1.25,0.973800193
1.26,0.972745703
1.27,0.971706462
1.28,0.970680479
1.29,0.969665612
1.3,0.968660126
